prior_x,prior_y,observe_x,observe_y,post_x,post_y,post_theta,post_v,post_w
4.54341,7.32807,4.54536,7.3261,4.5439,7.32742,-1.91484,0.296825,0.325215
4.53389,7.29947,4.53708,7.29726,4.53474,7.29877,-1.87626,0.297612,0.329836
4.52579,7.27039,4.53024,7.26805,4.527,7.26968,-1.83533,0.298185,0.335898
4.51921,7.2409,4.52488,7.23853,4.52077,7.2402,-1.79201,0.29857,0.343309
4.51422,7.21107,4.52099,7.20879,4.5161,7.21042,-1.74639,0.298809,0.351916
4.51088,7.18099,4.51837,7.1789,4.51296,7.1804,-1.69896,0.298991,0.361263
4.50914,7.15074,4.51678,7.14894,4.51126,7.15022,-1.65052,0.299209,0.370681
4.50888,7.1204,4.51603,7.11895,4.51086,7.11996,-1.60205,0.299525,0.379422
4.50992,7.09003,4.5159,7.08895,4.51157,7.08968,-1.55466,0.299954,0.386684
4.51206,7.05969,4.51625,7.05896,4.51321,7.05943,-1.5094,0.300449,0.391757
4.51506,7.02944,4.51698,7.02896,4.51559,7.02925,-1.46722,0.300923,0.394078
4.5187,6.99932,4.51802,6.99898,4.51851,6.99918,-1.42888,0.30127,0.393254
4.52277,6.96936,4.51932,6.96901,4.52182,6.96924,-1.39497,0.301399,0.389068
4.52709,6.93957,4.52081,6.93905,4.52535,6.93944,-1.36589,0.30125,0.381472
4.53148,6.90994,4.52235,6.90909,4.52894,6.90976,-1.34203,0.300792,0.370412
4.53576,6.88046,4.52388,6.87913,4.53245,6.88018,-1.32361,0.300035,0.356002
4.53979,6.85108,4.5254,6.84916,4.53577,6.85066,-1.3106,0.299031,0.338518
4.54347,6.82177,4.52691,6.8192,4.53885,6.82119,-1.3028,0.297869,0.318359
4.54674,6.79246,4.52842,6.78924,4.54163,6.79171,-1.29989,0.29666,0.295997
4.54957,6.76312,4.52991,6.75928,4.54411,6.76218,-1.30142,0.29552,0.271938
4.55197,6.7337,4.5314,6.72931,4.54627,6.73259,-1.3069,0.294552,0.246698
4.55395,6.70416,4.5328,6.69935,4.54811,6.70291,-1.31594,0.293815,0.220671
4.55551,6.67448,4.53409,6.66938,4.54961,6.67312,-1.3281,0.293348,0.194257
4.55666,6.64464,4.5353,6.6394,4.55079,6.64321,-1.34287,0.293171,0.167868
4.55741,6.61465,4.5364,6.60942,4.55166,6.61319,-1.35977,0.293279,0.141879
4.5578,6.58452,4.53742,6.57944,4.55222,6.58307,-1.37827,0.293647,0.116659
4.55784,6.55425,4.53837,6.54945,4.55252,6.55285,-1.39783,0.294237,0.0925572
4.55758,6.52387,4.53926,6.51947,4.55257,6.52256,-1.41795,0.294996,0.0698906
4.55706,6.4934,4.54011,6.48948,4.55242,6.49221,-1.43811,0.295864,0.0489314
4.55633,6.46289,4.54091,6.45949,4.55211,6.46184,-1.45788,0.296777,0.0298967
4.55545,6.43235,4.54168,6.4295,4.55167,6.43145,-1.47684,0.297675,0.0129426
4.55446,6.40181,4.54239,6.39951,4.55114,6.40107,-1.49475,0.298503,-0.00188853
4.55341,6.37131,4.54303,6.36951,4.55055,6.37072,-1.51139,0.29922,-0.0146016
4.55232,6.34085,4.54361,6.33952,4.54992,6.34041,-1.52661,0.299804,-0.0252364
4.55124,6.31046,4.54415,6.30952,4.54928,6.31015,-1.5403,0.300247,-0.0338647
4.5502,6.28014,4.54466,6.27953,4.54866,6.27993,-1.55238,0.300552,-0.0405875
4.54921,6.24988,4.54513,6.24953,4.54808,6.24976,-1.56282,0.300732,-0.0455312
4.54832,6.21969,4.54558,6.21954,4.54756,6.21964,-1.57166,0.300805,-0.0488422
4.54753,6.18956,4.54599,6.18954,4.5471,6.18955,-1.57895,0.300793,-0.0507093
4.54686,6.15948,4.54635,6.15954,4.54672,6.1595,-1.58481,0.300718,-0.0513217
4.5463,6.12943,4.54668,6.12954,4.5464,6.12948,-1.58935,0.300603,-0.0508598
4.54584,6.09942,4.54697,6.09954,4.54616,6.09947,-1.59269,0.300467,-0.0495017
4.5455,6.06943,4.54724,6.06954,4.54598,6.06948,-1.59494,0.300327,-0.0474126
4.54526,6.03946,4.54748,6.03955,4.54587,6.0395,-1.59624,0.300196,-0.0447433
4.54511,6.00949,4.5477,6.00955,4.54583,6.00952,-1.59671,0.300081,-0.0416312
4.54505,5.97952,4.5479,5.97955,4.54584,5.97954,-1.59645,0.299987,-0.0382009
4.54507,5.94955,4.54809,5.94955,4.54591,5.94956,-1.59559,0.299916,-0.0345649
4.54516,5.91957,4.54827,5.91955,4.54602,5.91957,-1.59422,0.299868,-0.0308235
4.54532,5.88959,4.54845,5.88955,4.54619,5.88958,-1.59247,0.29984,-0.0270651
4.54554,5.85961,4.54861,5.85955,4.54639,5.85959,-1.59041,0.29983,-0.0233665
4.5458,5.82961,4.54877,5.82955,4.54662,5.8296,-1.58814,0.299833,-0.0197927
4.5461,5.79962,4.54892,5.79955,4.54688,5.7996,-1.58575,0.299846,-0.0163973
4.54643,5.76962,4.54906,5.77159,4.54716,5.77044,-1.58338,0.297648,-0.0132811
4.54679,5.74067,4.54918,5.74664,4.54746,5.74313,-1.58117,0.291135,-0.0105283
4.54716,5.71402,4.54928,5.72448,4.54776,5.71833,-1.57918,0.279759,-0.00816947
4.54753,5.69036,4.54937,5.70482,4.54805,5.69631,-1.57745,0.264047,-0.00619299
4.54787,5.66991,4.54945,5.68737,4.54832,5.67709,-1.57594,0.245086,-0.00456103
4.54819,5.65259,4.54952,5.67189,4.54856,5.66053,-1.57464,0.224137,-0.00322422
4.54847,5.63812,4.54957,5.65815,4.54877,5.64636,-1.57351,0.202397,-0.00213209
4.54871,5.62612,4.54963,5.64596,4.54895,5.63429,-1.57252,0.180871,-0.00123904
4.54892,5.6162,4.54967,5.63515,4.54911,5.624,-1.57164,0.160315,-0.000506494
4.54909,5.60797,4.54971,5.62555,4.54924,5.6152,-1.57085,0.141239,9.68256e-05
4.54924,5.60108,4.54975,5.61704,4.54935,5.60765,-1.57013,0.123929,0.000595806
4.54936,5.59525,4.54978,5.60948,4.54945,5.60111,-1.56946,0.108495,0.00101006
4.54946,5.59026,4.5498,5.60278,4.54953,5.59541,-1.56885,0.0949155,0.00135503
4.54954,5.58592,4.54983,5.59683,4.54959,5.59041,-1.56828,0.083081,0.00164294
4.54961,5.5821,4.54985,5.59155,4.54965,5.58599,-1.56775,0.0728297,0.00188349
4.54967,5.57871,4.54986,5.58687,4.5497,5.58207,-1.56724,0.063977,0.00208451
4.54972,5.57567,4.54988,5.58271,4.54974,5.57857,-1.56676,0.056335,0.00225231
4.54977,5.57293,4.54989,5.57903,4.54978,5.57544,-1.5663,0.0497264,0.00239208
4.5498,5.57047,4.54991,5.57576,4.54981,5.57264,-1.56587,0.0439921,0.00250808
4.54983,5.56825,4.54992,5.57285,4.54984,5.57014,-1.56545,0.0389944,0.00260385
4.54986,5.56624,4.54993,5.57028,4.54986,5.5679,-1.56505,0.0346173,0.00268236
4.54988,5.56444,4.54993,5.56799,4.54988,5.5659,-1.56467,0.0307654,0.0027461
4.5499,5.56283,4.54994,5.56596,4.5499,5.56412,-1.56429,0.027361,0.00279721
4.54992,5.56138,4.54995,5.56416,4.54992,5.56253,-1.56394,0.0243413,0.00283748
4.54994,5.56009,4.54995,5.56257,4.54993,5.56111,-1.56359,0.0216556,0.00286848
4.54995,5.55895,4.54996,5.56115,4.54995,5.55985,-1.56326,0.0192626,0.00289155
4.54996,5.55793,4.54996,5.5599,4.54996,5.55874,-1.56293,0.0171283,0.00290785
4.54997,5.55702,4.54997,5.55878,4.54997,5.55775,-1.56262,0.015224,0.00291838
4.54998,5.55622,4.54997,5.55779,4.54997,5.55687,-1.56232,0.0135254,0.00292404
4.54999,5.55552,4.54998,5.55691,4.54998,5.55609,-1.56202,0.012011,0.00292557
4.54999,5.55489,4.54998,5.55613,4.54999,5.5554,-1.56173,0.010662,0.00292365
4.55,5.55434,4.54998,5.55544,4.54999,5.55479,-1.56145,0.00946141,0.00291884
4.55,5.55384,4.54998,5.55483,4.55,5.55425,-1.56118,0.00839389,0.00291165
4.55,5.55341,4.54998,5.55428,4.55,5.55377,-1.56091,0.00744548,0.00290251
4.55001,5.55303,4.54999,5.5538,4.55,5.55335,-1.56065,0.00660351,0.0028918
4.55001,5.55268,4.54999,5.55337,4.55001,5.55297,-1.56039,0.00585649,0.00287983
4.55001,5.55238,4.54999,5.55299,4.55001,5.55263,-1.56013,0.00519398,0.00286688
4.55001,5.55211,4.54999,5.55266,4.55001,5.55234,-1.55988,0.00460659,0.00285319
